{637.152359, 0.4772259400727765}
{571.113625, 0.163186755718245}
{571.056415, 0.08302463109417065}
{570.799023, 0.05087779504963339}
{570.618618, 0.0347927080710567}
{570.717303, 0.025572137446546402}
{570.787732, 0.019772236129600256}
{570.717606, 0.0158692672832409}
{570.734518, 0.01310496054029125}
{570.562151, 0.011067239041337058}
{570.584372, 0.009516242476129425}
{570.564517, 0.008304439881949047}
{570.588592, 0.007336888919565937}
{570.719599, 0.006550136402396394}
{570.344491, 0.00590039346510613}
{570.547774, 0.005356598823816651}
{570.555581, 0.004896187238711162}
{570.31234, 0.004502419311239337}
{570.313635, 0.004162645911938246}
{570.424701, 0.0038671502877060723}
{570.261592, 0.0036083574766016904}
{569.879945, 0.003380283233142226}
{569.651036, 0.0031781427012173773}
{569.509363, 0.0029980678268091763}
{569.466872, 0.0028369001670844264}
{569.377431, 0.0026920368604760663}
{569.819781, 0.002561314657707657}
{569.932675, 0.0024429215870991616}
{570.010172, 0.0023353289434524965}
{569.839747, 0.0022372384017706752}
{569.816582, 0.002147540510412227}
{569.959914, 0.0020652818325871303}
{569.86635, 0.0019896387223195737}
{569.595566, 0.0019198962343802404}
{569.549537, 0.0018554310393730019}
{569.646139, 0.0017956974871403972}
{569.632845, 0.001740216162670249}
{569.574715, 0.0016885644286477107}
{569.682552, 0.0016403685616515381}
