tick,freq_mean,freq_sd
1,4.6375e-06,4.83198e-05
1001,0.00383899,0.0369533
2001,0.00759271,0.0552757
3001,0.0114121,0.0697735
4001,0.0149798,0.0805318
5001,0.0186659,0.0912557
6001,0.0223609,0.100339
7001,0.025728,0.10738
8001,0.029111,0.114918
9001,0.0324861,0.120023
10001,0.0358836,0.12204
11001,0.0391125,0.131708
12001,0.0423509,0.13685
13001,0.0453103,0.140905
14001,0.0482798,0.145816
15001,0.0513447,0.149385
16001,0.0540816,0.153286
17001,0.0568518,0.155121
18001,0.0596093,0.159711
19001,0.0624246,0.16359
20001,0.0651374,0.165707
21001,0.0678967,0.169257
22001,0.0705693,0.171179
23001,0.0730717,0.174121
24001,0.0754204,0.176493
25001,0.0779114,0.179167
26001,0.0802334,0.181325
27001,0.082276,0.183251
28001,0.084406,0.185284
29001,0.086662,0.187627
30001,0.0890277,0.188133
31001,0.0911799,0.1915
32001,0.093152,0.193171
33001,0.0951547,0.19356
34001,0.0970669,0.195983
35001,0.099017,0.197742
36001,0.100992,0.198593
37001,0.102941,0.200868
38001,0.104783,0.201
39001,0.106694,0.203379
40001,0.108492,0.204137
41001,0.109759,0.205645
42001,0.111579,0.20495
43001,0.113049,0.207939
44001,0.11499,0.206527
45001,0.116452,0.209346
46001,0.118453,0.210466
47001,0.120164,0.209511
48001,0.121831,0.212804
49001,0.123503,0.211415
50001,0.125072,0.214927
51001,0.126526,0.216262
52001,0.128035,0.216641
53001,0.129176,0.217188
54001,0.130574,0.216778
55001,0.131451,0.218913
56001,0.132449,0.219452
57001,0.133333,0.220097
58001,0.134606,0.220106
59001,0.135799,0.220008
60001,0.136921,0.221212
61001,0.138236,0.221804
62001,0.139275,0.222904
63001,0.140389,0.222556
64001,0.141601,0.221164
65001,0.142823,0.224093
66001,0.143595,0.224657
67001,0.144634,0.22539
68001,0.145675,0.226084
69001,0.146386,0.22626
70001,0.147427,0.226383
71001,0.148424,0.227138
72001,0.149423,0.22753
73001,0.150297,0.227255
74001,0.151182,0.227794
75001,0.152014,0.228078
76001,0.152874,0.227273
77001,0.153679,0.228704
78001,0.154505,0.229276
79001,0.155514,0.229548
80001,0.156389,0.229878
81001,0.156961,0.230634
82001,0.157824,0.229992
83001,0.15866,0.230873
84001,0.159732,0.230506
85001,0.160366,0.231696
86001,0.160795,0.232077
87001,0.161413,0.230208
88001,0.16218,0.230472
89001,0.162571,0.232954
90001,0.163089,0.231687
91001,0.163443,0.233426
92001,0.16389,0.233262
93001,0.164743,0.232933
94001,0.165253,0.233496
95001,0.165724,0.233586
96001,0.166361,0.233437
97001,0.167041,0.233872
98001,0.167646,0.233822
99001,0.168144,0.234255
100001,0.168821,0.23538
101001,0.169139,0.234809
102001,0.169929,0.234855
103001,0.170754,0.232783
104001,0.171133,0.235392
105001,0.171478,0.235572
106001,0.171699,0.236398
107001,0.172439,0.236473
108001,0.172998,0.236318
109001,0.173228,0.236296
110001,0.173702,0.236751
111001,0.17403,0.236973
112001,0.174364,0.236667
113001,0.175095,0.23698
114001,0.175433,0.235687
115001,0.175563,0.236922
116001,0.176148,0.235579
117001,0.17667,0.236392
118001,0.177124,0.237572
119001,0.177409,0.237854
120001,0.177946,0.237872
121001,0.178622,0.23632
122001,0.178892,0.238088
123001,0.179252,0.238392
124001,0.179712,0.237569
125001,0.179845,0.238279
126001,0.180008,0.238408
127001,0.180501,0.238611
128001,0.180598,0.238278
129001,0.180785,0.238281
130001,0.181129,0.237352
131001,0.181467,0.238592
132001,0.181687,0.239185
133001,0.181856,0.23953
134001,0.181872,0.239073
135001,0.182144,0.239449
136001,0.182222,0.238436
137001,0.182423,0.238988
138001,0.182592,0.239266
139001,0.182866,0.239125
140001,0.183143,0.239025
141001,0.183586,0.239053
142001,0.184075,0.239405
143001,0.184572,0.239207
144001,0.185137,0.238736
145001,0.185077,0.239435
146001,0.185542,0.239328
147001,0.185536,0.239947
148001,0.186025,0.238946
149001,0.186158,0.239519
150001,0.186267,0.2395
151001,0.186672,0.240001
152001,0.187285,0.238204
153001,0.187629,0.240124
154001,0.187921,0.239614
155001,0.187972,0.239512
156001,0.188317,0.240764
157001,0.1884,0.240781
158001,0.188656,0.240775
159001,0.18894,0.239347
160001,0.189092,0.240317
161001,0.18915,0.240922
162001,0.189534,0.23949
163001,0.189416,0.240878
164001,0.189662,0.240492
165001,0.189828,0.240928
166001,0.189801,0.240822
167001,0.190059,0.240147
168001,0.190349,0.240981
169001,0.190558,0.238631
170001,0.190567,0.240905
171001,0.19052,0.241546
172001,0.190595,0.24094
173001,0.190757,0.240746
174001,0.190988,0.240643
175001,0.191001,0.241244
176001,0.191194,0.239098
177001,0.19141,0.241651
178001,0.191603,0.240392
179001,0.191536,0.241426
180001,0.191508,0.242049
181001,0.191649,0.241712
182001,0.191754,0.242136
183001,0.191768,0.241464
184001,0.19205,0.241283
185001,0.192139,0.241304
186001,0.192251,0.242113
187001,0.192281,0.241526
188001,0.192355,0.241
189001,0.192556,0.24172
190001,0.192798,0.240245
191001,0.193062,0.241338
192001,0.192819,0.241949
193001,0.192477,0.241908
194001,0.192716,0.240936
195001,0.192969,0.241551
196001,0.193128,0.240379
197001,0.193355,0.241988
198001,0.193648,0.241917
199001,0.193775,0.241853
