 mean CIlo CIhi
tpS_10 0.0114377777777778 0.0104407912787609 0.0124347642767947
tpS_20 0.0115268421052632 0.0106448326772087 0.0124088515333176
tpS_40 0.0113872769230769 0.0104805637250003 0.0122939901211535
tpS_80 0.0114941886075949 0.0105350200703287 0.0124533571448612
twS_10 0.0126194417169308 0.0116579623724992 0.0135809210613625
twS_20 0.0134575827467676 0.0126610229461994 0.0142541425473358
twS_40 0.0139149879190597 0.0132698694761515 0.0145601063619678
twS_80 0.014547204004322 0.0139677455510701 0.0151266624575738
taS_10 -0.513896095163566 -0.643709960001076 -0.384082230326057
taS_20 -0.642039195303043 -0.760587996450435 -0.523490394155651
taS_40 -0.746913939730122 -0.868683022545989 -0.625144856914255
taS_80 -0.784661534313589 -0.91376419195446 -0.655558876672717
deS_10 0.104386942960081 0.0780571614981068 0.130716724422055
deS_20 0.156216294945164 0.127375145622165 0.185057444268162
deS_40 0.202741548815819 0.169703853311434 0.235779244320205
deS_80 0.22994095053478 0.192156217153622 0.267725683915938
tpN_10 0.0131144888888889 0.0120393646474065 0.0141896131303713
tpN_20 0.0136608 0.012556006505969 0.014765593494031
tpN_40 0.0135988512820513 0.0125092894127415 0.014688413151361
tpN_80 0.0137674708860759 0.0126270469978574 0.0149078947742945
twN_10 0.0144929162575396 0.0134084493381211 0.0155773831769582
twN_20 0.0158140127015887 0.0148808668528961 0.0167471585502812
twN_40 0.0162499825127628 0.0154972520476492 0.0170027129778764
twN_80 0.0166170693162121 0.015952920364578 0.0172812182678463
taN_10 -0.474028019754699 -0.598938092067784 -0.349117947441615
taN_20 -0.617076051479776 -0.746113162101974 -0.488038940857579
taN_40 -0.671070230108163 -0.802498969519559 -0.539641490696766
taN_80 -0.65757618412676 -0.7923702758372 -0.52278209241632
deN_10 0.0958208128992813 0.070585812027247 0.121055813771316
deN_20 0.149708829864559 0.118450258237696 0.180967401491422
deN_40 0.18156656242724 0.1460550212766 0.217078103577881
deN_80 0.192250257402618 0.152921764586229 0.231578750219008
pBar2 0.70921616 0.707866063738012 0.710566256261988
pBar4 0.98656884 0.985325740756138 0.987811939243862
LD2 -0.00048379780376174 -0.000826791428278194 -0.000140804179245286
minus2LDsumS 3.43680009999993 1.89446193918092 4.97913826081895
LD4 0.000359028317408566 -4.07771575166124e-05 0.000758833792333745
n2 298.46 291.700704461059 305.219295538941
n4 330.52 322.041799280954 338.998200719046
B 0.891811470309632 0.885261881478394 0.89836105914087
Bprime 0.688373544303797 0.631352349892867 0.745394738714727
cSq10 0.864083428523038 0.754303126015878 0.973863731030198
cSq20 1.38115721303925 1.17874473959487 1.58356968648363
cSq40 2.27591110358893 1.90151604715612 2.65030616002175
cSq80 3.84848703164026 3.15251671317576 4.54445735010477
