tick,freq_mean,freq_sd
1,4.2e-06,4.5642e-05
1001,0.0035946,0.0319384
2001,0.0056668,0.0438174
3001,0.0079508,0.0549548
4001,0.0116614,0.0653564
5001,0.0151762,0.078863
6001,0.0190732,0.0837408
7001,0.0222724,0.0948381
8001,0.024433,0.103976
9001,0.0270074,0.108662
10001,0.028991,0.112333
11001,0.0321574,0.115932
12001,0.0348662,0.117772
13001,0.0380354,0.118165
14001,0.0402198,0.132287
15001,0.0427624,0.134607
16001,0.0455544,0.139181
17001,0.0477592,0.142651
18001,0.0492126,0.145055
19001,0.0500132,0.147531
20001,0.051569,0.148891
21001,0.0538276,0.148151
22001,0.0556812,0.151831
23001,0.05764,0.15589
24001,0.05902,0.159386
25001,0.0610248,0.160381
26001,0.0629736,0.161813
27001,0.0654918,0.162325
28001,0.0670648,0.165611
29001,0.0690706,0.168164
30001,0.0704804,0.169146
31001,0.0722466,0.17315
32001,0.0742208,0.174899
33001,0.0764672,0.176337
34001,0.0770738,0.176933
35001,0.0783626,0.177264
36001,0.0793452,0.179046
37001,0.0819986,0.180417
38001,0.0833924,0.181538
39001,0.0845498,0.182831
40001,0.0848042,0.184786
41001,0.0865834,0.185546
42001,0.0874256,0.185573
43001,0.0888962,0.189047
44001,0.0898382,0.18892
45001,0.0917016,0.19076
46001,0.0936206,0.190227
47001,0.0949326,0.19306
48001,0.095904,0.194339
49001,0.0972934,0.195468
50001,0.0990198,0.195747
51001,0.0999352,0.197191
52001,0.0998514,0.196471
53001,0.0990624,0.196669
54001,0.098878,0.196587
55001,0.0997162,0.197077
56001,0.100555,0.197665
57001,0.101958,0.194967
58001,0.103221,0.199121
59001,0.103174,0.199988
60001,0.103488,0.199246
61001,0.104399,0.200454
62001,0.104778,0.200083
63001,0.104414,0.200085
64001,0.105513,0.200699
65001,0.105533,0.200715
66001,0.107276,0.201917
67001,0.108538,0.202596
68001,0.109367,0.204341
69001,0.109695,0.203112
70001,0.109413,0.204339
71001,0.110616,0.203782
72001,0.112288,0.205218
73001,0.111744,0.206121
74001,0.112144,0.2063
75001,0.112335,0.206277
76001,0.113344,0.205549
77001,0.115307,0.206955
78001,0.116501,0.207749
79001,0.117298,0.208684
80001,0.118293,0.209185
81001,0.11985,0.210263
82001,0.120896,0.211357
83001,0.122351,0.212278
84001,0.122268,0.213033
85001,0.122723,0.212127
86001,0.122379,0.211085
87001,0.122699,0.212289
88001,0.124245,0.213969
89001,0.12362,0.212992
90001,0.124041,0.21264
91001,0.124811,0.21193
92001,0.125338,0.211979
93001,0.125666,0.213574
94001,0.126262,0.213961
95001,0.126965,0.214588
96001,0.127426,0.215127
97001,0.127862,0.215986
98001,0.127299,0.214924
99001,0.128154,0.215405
100001,0.129469,0.212631
101001,0.129811,0.216232
102001,0.130619,0.218329
103001,0.131201,0.216819
104001,0.131806,0.21687
105001,0.131405,0.217587
106001,0.13239,0.218482
107001,0.13256,0.21769
108001,0.13376,0.217634
109001,0.133838,0.216485
110001,0.133952,0.217434
111001,0.135272,0.218648
112001,0.134753,0.219631
113001,0.135606,0.21931
114001,0.135401,0.220068
115001,0.134967,0.220457
116001,0.135877,0.218762
117001,0.134864,0.219479
118001,0.135071,0.218715
119001,0.135915,0.219032
120001,0.136121,0.218937
121001,0.135575,0.219543
122001,0.135202,0.21868
123001,0.134498,0.218538
124001,0.134965,0.218418
125001,0.135386,0.219621
126001,0.135414,0.216717
127001,0.135921,0.219274
128001,0.136403,0.218954
129001,0.135894,0.220626
130001,0.135364,0.220133
131001,0.134661,0.219324
132001,0.13433,0.218932
133001,0.134537,0.218099
134001,0.134874,0.217889
135001,0.13367,0.218574
136001,0.133344,0.219061
137001,0.133646,0.217463
138001,0.135323,0.218598
139001,0.135375,0.217923
140001,0.135997,0.217471
141001,0.13706,0.219544
142001,0.137793,0.218378
143001,0.138644,0.221148
144001,0.139144,0.220509
145001,0.138395,0.220995
146001,0.139328,0.220299
147001,0.139469,0.219567
148001,0.139356,0.221163
149001,0.139638,0.21966
150001,0.139582,0.221509
151001,0.139415,0.222423
152001,0.14023,0.221771
153001,0.141159,0.220225
154001,0.140911,0.221698
155001,0.141711,0.219516
156001,0.140485,0.223015
157001,0.139696,0.221477
158001,0.139896,0.219198
159001,0.141018,0.216488
160001,0.139988,0.222412
161001,0.140192,0.220969
162001,0.140233,0.222907
163001,0.140186,0.220454
164001,0.141365,0.222668
165001,0.141493,0.222568
166001,0.141711,0.221559
167001,0.140621,0.222327
168001,0.140317,0.220951
169001,0.140964,0.218581
170001,0.140505,0.22219
171001,0.1418,0.221696
172001,0.141411,0.223986
173001,0.14216,0.22397
174001,0.142864,0.220602
175001,0.144326,0.219596
176001,0.144785,0.224148
177001,0.145638,0.223544
178001,0.146156,0.223954
179001,0.145618,0.223991
180001,0.145823,0.223521
181001,0.145896,0.224932
182001,0.147017,0.223738
183001,0.148199,0.225843
184001,0.148336,0.225965
185001,0.147569,0.224642
186001,0.149745,0.223018
187001,0.150176,0.22577
188001,0.149833,0.226603
189001,0.1503,0.224438
190001,0.150672,0.227193
191001,0.150226,0.227146
192001,0.150662,0.226302
193001,0.151088,0.225319
194001,0.151494,0.226674
195001,0.151402,0.226805
196001,0.152207,0.226051
197001,0.152827,0.227918
198001,0.15269,0.227531
199001,0.15335,0.225495
