 mean CIlo CIhi
tpS_10 0.0112230222222222 0.0102019743483632 0.0122440700960812
tpS_20 0.0115526315789474 0.0106670569031714 0.0124382062547234
tpS_40 0.0114368051282051 0.0105538110513185 0.0123197992050918
tpS_80 0.0114649430379747 0.0105421007339348 0.0123877853420146
twS_10 0.0122701977837004 0.0113528551785262 0.0131875403888745
twS_20 0.0133177754193045 0.0125798163948456 0.0140557344437635
twS_40 0.0140381793374145 0.0133995207295258 0.0146768379453032
twS_80 0.0145673938727563 0.013989995593963 0.0151447921515497
taS_10 -0.473914459984073 -0.60727693729498 -0.340551982673167
taS_20 -0.600004639223792 -0.731351929820696 -0.468657348626887
taS_40 -0.741834032977677 -0.869384708356184 -0.614283357599171
taS_80 -0.787150670386094 -0.915795328169418 -0.658506012602771
deS_10 0.0961953392569114 0.0691904282793807 0.123200250234442
deS_20 0.146047339653237 0.114140477589821 0.177954201716653
deS_40 0.201226001833816 0.166649903020707 0.235802100646924
deS_80 0.230617808671678 0.19296010009245 0.268275517250905
tpN_10 0.0136526222222222 0.0122900995788171 0.0150151448656274
tpN_20 0.0137605263157895 0.0126516467615115 0.0148694058700675
tpN_40 0.0134536256410256 0.0124215164060661 0.0144857348759851
tpN_80 0.0136240151898734 0.0125262298301086 0.0147218005496382
twN_10 0.0140772170009819 0.0129174647694702 0.0152369692324936
twN_20 0.0155738597923174 0.0146237466307796 0.0165239729538553
twN_40 0.0161117448143035 0.0153142521352023 0.0169092374934048
twN_80 0.0165136971898282 0.0158287878177826 0.0171986065618738
taN_10 -0.244210887140839 -0.380846357138021 -0.107575417143657
taN_20 -0.518066815648292 -0.652857865195757 -0.383275766100827
taN_40 -0.663148938400433 -0.789101952775216 -0.537195924025651
taN_80 -0.662255645298298 -0.797417722453272 -0.527093568143323
deN_10 0.0496011500312569 0.0219493436207519 0.0772529564417619
deN_20 0.125685102039332 0.0930475284930127 0.15832267558565
deN_40 0.179427774251624 0.14538792067455 0.213467627828699
deN_80 0.193615403511931 0.154148411228845 0.233082395795018
pBar2 0.70921616 0.707866063738012 0.710566256261988
pBar4 0.98656884 0.985325740756138 0.987811939243862
LD2 -0.00048379780376174 -0.000826791428278194 -0.000140804179245286
minus2LdS 0.0209999572870932 0.0113203960271197 0.0306795185470668
LD4 2.00865411992223 1.88888855804922 2.12841968179523
minus2LdN -0.00804298433052104 -0.0215274058777832 0.00544143721674114
n2 298.46 291.700704461059 305.219295538941
n4 330.52 322.041799280954 338.998200719046
B 0.891811470309632 0.885261881478394 0.89836105914087
Bprime 0.681200759493671 0.626311491505432 0.736090027481909
cSq10 0.871943636078546 0.747706082071063 0.996181190086029
cSq20 1.49427207529194 1.27555224936513 1.71299190121875
cSq40 2.24756821024107 1.88205328233672 2.61308313814541
cSq80 3.73498716273984 3.04202551265054 4.42794881282915
